Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1719704473,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0
1719704474,100,,Aggregated,0.0,0.0,560.0,660.0,770.0,770.0,870.0,870.0,870.0,870.0,870.0,870.0,870.0,8,0,450.0,502.77741662284825,131.68716698419303,873.3587079914287,29.125
1719704475,200,,Aggregated,0.0,0.0,660.0,870.0,1300.0,1400.0,1700.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0,17,0,660.0,796.1085122318336,121.49208295159042,1766.6367499623448,27.11764705882353
1719704476,300,,Aggregated,5.0,0.0,770.0,1200.0,1400.0,1600.0,1700.0,1700.0,1800.0,1800.0,1800.0,1800.0,1800.0,25,0,770.0,896.7780499579385,121.49208295159042,1766.6367499623448,27.76
1719704477,400,,Aggregated,6.5,0.0,1100.0,1600.0,1700.0,3100.0,3500.0,3700.0,3800.0,3800.0,3800.0,3800.0,3800.0,33,0,1100.0,1423.1500681207488,121.49208295159042,3768.352833052632,27.454545454545453
1719704478,500,,Aggregated,7.333333,0.0,1400.0,1800.0,3400.0,3600.0,4200.0,4500.0,4600.0,4600.0,4600.0,4600.0,4600.0,40,0,1300.0,1791.8165426512132,109.10654196050018,4596.494625031482,27.55
1719704479,600,,Aggregated,7.333333,0.0,1400.0,1800.0,3400.0,3600.0,4200.0,4500.0,4600.0,4600.0,4600.0,4600.0,4600.0,40,0,1300.0,1791.8165426512132,109.10654196050018,4596.494625031482,27.55
1719704480,700,,Aggregated,7.333333,0.0,1400.0,1800.0,3400.0,3600.0,4200.0,4500.0,4600.0,4600.0,4600.0,4600.0,4600.0,40,0,1300.0,1791.8165426512132,109.10654196050018,4596.494625031482,27.55
1719704481,800,,Aggregated,7.333333,0.0,1400.0,1800.0,3400.0,3600.0,4200.0,4500.0,4600.0,4600.0,4600.0,4600.0,4600.0,40,0,1300.0,1791.8165426512132,109.10654196050018,4596.494625031482,27.55
1719704482,900,,Aggregated,7.333333,0.0,1400.0,1800.0,3400.0,3600.0,4200.0,4500.0,4600.0,4600.0,4600.0,4600.0,4600.0,40,0,1300.0,1791.8165426512132,109.10654196050018,4596.494625031482,27.55
1719704483,1000,,Aggregated,7.333333,0.0,1400.0,1800.0,3400.0,3600.0,4200.0,4500.0,4600.0,4600.0,4600.0,4600.0,4600.0,40,0,1300.0,1791.8165426512132,109.10654196050018,4596.494625031482,27.55
1719704484,1100,,Aggregated,4.444444,0.0,1700.0,3500.0,3700.0,4300.0,6000.0,6000.0,10000.0,10000.0,10000.0,10000.0,10000.0,49,0,1700.0,2541.080033122704,109.10654196050018,10144.103083992375,28.857142857142858
