Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1719705159,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1719705160,100,,Aggregated,0.000000,0.000000,590,690,800,800,910,910,910,910,910,910,910,8,0,490.0,521.6341769919381,127.79941700864583,905.4936249740422,21.5
1719705161,200,,Aggregated,0.000000,0.000000,1100,1300,1500,1600,1800,2000,2000,2000,2000,2000,2000,18,0,1000.0,1055.8311804909156,127.79941700864583,1954.3959579896182,22.11111111111111
1719705162,300,,Aggregated,3.000000,0.000000,1500,2000,2300,2400,2700,2800,2900,2900,2900,2900,2900,27,0,1500.0,1534.8144258842458,127.79941700864583,2922.469000041019,22.51851851851852
1719705163,400,,Aggregated,6.500000,0.000000,2100,2700,3000,3200,3700,3900,4000,4000,4000,4000,4000,37,0,2100.0,2068.2802612128717,127.79941700864583,3987.1700420044363,23.72972972972973
1719705164,500,,Aggregated,7.333333,0.000000,2600,3300,3800,4000,4500,4700,4900,4900,4900,4900,4900,46,0,2500.0,2545.8591195612985,127.79941700864583,4924.36279199319,23.652173913043477
1719705165,600,,Aggregated,8.000000,0.000000,3100,4000,4600,4800,5500,5800,5900,6000,6000,6000,6000,56,0,3000.0,3075.667229157781,127.79941700864583,5985.677416028921,25.035714285714285
1719705166,700,,Aggregated,8.200000,0.000000,3600,4600,5200,5700,6300,6600,6800,6900,6900,6900,6900,65,0,3600.0,3551.620239764452,127.79941700864583,6933.286916988436,24.123076923076923
1719705167,800,,Aggregated,8.333333,0.000000,4100,5400,6100,6500,7200,7700,7900,8000,8000,8000,8000,75,0,4100.0,4079.9964494615174,127.79941700864583,7991.036124993116,24.506666666666668
1719705168,900,,Aggregated,8.571429,0.000000,4600,6000,6800,7200,8100,8500,8800,8900,8900,8900,8900,84,0,4500.0,4555.696963792711,127.79941700864583,8939.3841670244,24.904761904761905
