Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api,134844,134825,25,817.5595625735442,0.8970830240286887,27261.581624974497,115.98872771498917,225.0497930525106,225.01808273489914,25,100,140,170,1400,2100,13000,20000,26000,27000,27000
POST,/api,135547,135517,23,796.909423635478,0.9492090321145952,27303.574457997456,115.97786745556891,226.22307480413406,226.1730058815897,23,100,140,170,1400,1900,13000,20000,26000,26000,27000
,Aggregated,270391,270342,24,807.2076485577853,0.8970830240286887,27303.574457997456,115.98328346727517,451.27286785664467,451.1910886164888,24,100,140,170,1400,1900,13000,20000,26000,26000,27000
