Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api,5668,0,188000.0,195685.03885959397,136.03037496795878,440670.9039999987,37.0,9.450998657548615,0.0,188000,211000,264000,265000,394000,418000,431000,436000,440000,441000,441000
POST,/api,5577,5577,188000.0,195645.5534477821,136.34745799936354,440252.640666964,89.0,9.299262440569622,9.299262440569622,188000,217000,264000,265000,394000,420000,431000,436000,440000,440000,440000
,Aggregated,11245,5577,188000.0,195665.45592124993,136.03037496795878,440670.9039999987,62.78959537572254,18.750261098118237,9.299262440569622,188000,214000,264000,265000,394000,419000,431000,436000,440000,441000,441000
