Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api,9668,6871,127000.0,125789.8751662721,127.79941700864583,266887.1773330029,10.993587091435664,16.11770840014551,11.45477600510962,127000,127000,127000,127000,154000,170000,182000,183000,245000,267000,267000
POST,/api,9861,6958,127000.0,126189.9780328204,341.5072920033708,245565.01508300425,4.710272791806105,16.439462405237368,11.59981537528056,127000,127000,127000,127000,155000,173000,182000,190000,244000,246000,246000
,Aggregated,19529,13829,127000.0,125991.90365554664,127.79941700864583,266887.1773330029,7.8208817655793945,32.55717080538288,23.054591380390182,127000,127000,127000,127000,154000,171000,182000,183000,244000,246000,267000
