Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api,10336,9810,127000.0,122488.43253101113,109.10654196050018,244021.9542919658,1.8829334365325077,17.23642101772374,16.359257951225803,127000,127000,127000,127000,127000,127000,138000,150000,190000,244000,244000
POST,/api,10421,9920,127000.0,122572.59799800522,121.49208295159042,244042.534874985,0.7692160061414451,17.378167901093178,16.542695094409783,127000,127000,127000,127000,127000,127000,138000,150000,244000,244000,244000
,Aggregated,20757,19730,127000.0,122530.68759347472,109.10654196050018,244042.534874985,1.323794382617912,34.61458891881692,32.90195304563559,127000,127000,127000,127000,127000,127000,138000,150000,190000,244000,244000
