Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1719703849,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1719703850,100,,Aggregated,0.000000,0.000000,590,700,800,800,910,910,910,910,910,910,910,19,11,590.0,528.6946557278402,136.03037496795878,909.6890829969198,67.10526315789474
1719703851,200,,Aggregated,0.000000,0.000000,1000,1300,1300,1300,1600,1900,2000,2000,2000,2000,2000,38,20,910.0,964.9970219439925,136.03037496795878,1955.9642089880072,64.36842105263158
1719703852,300,,Aggregated,17.000000,10.000000,1300,1700,2100,2300,2600,2700,2800,2900,2900,2900,2900,54,27,1300.0,1399.5176797206686,136.03037496795878,2892.7444579894654,63.0
1719703853,400,,Aggregated,18.500000,10.000000,2100,2600,3100,3100,3500,3700,3900,3900,3900,3900,3900,76,39,2000.0,1974.2680651956778,136.03037496795878,3937.9892920260318,63.68421052631579
1719703854,500,,Aggregated,17.666667,9.000000,2600,3200,3600,3900,4700,4800,5000,5000,5000,5000,5000,94,47,2600.0,2473.792370988373,136.03037496795878,4984.600791998673,63.0
1719703855,600,,Aggregated,18.500000,9.500000,3000,3500,3800,4200,4800,5100,5300,5400,5400,5400,5400,109,53,3000.0,2719.081439595315,136.03037496795878,5422.865333966911,62.28440366972477
1719703856,700,,Aggregated,18.000000,9.000000,2900,3300,3600,3900,4700,5000,5300,5400,5400,5400,5400,127,62,2900.0,2745.096407471386,136.03037496795878,5422.865333966911,62.38582677165354
1719703857,800,,Aggregated,17.500000,8.500000,2800,3100,3500,3700,4700,5000,5200,5400,5400,5400,5400,152,78,2800.0,2705.5950438547084,136.03037496795878,5422.865333966911,63.68421052631579
1719703858,900,,Aggregated,17.857143,8.714286,2700,3100,3400,3600,4600,4900,5200,5400,5400,5400,5400,167,83,2700.0,2687.758573089046,136.03037496795878,5422.865333966911,62.84431137724551
1719703859,1000,,Aggregated,18.875000,9.750000,2700,3100,3400,3700,4800,5300,8800,9000,9000,9000,9000,186,93,2700.0,2910.5615674237024,136.03037496795878,8986.946917022578,63.0
1719703860,1100,,Aggregated,17.888889,8.777778,2800,3300,4000,4700,9100,9300,9700,9800,9900,9900,9900,207,105,2800.0,3571.3906978740097,136.03037496795878,9924.949374981225,63.3768115942029
1719703861,1200,,Aggregated,18.300000,9.200000,2900,3700,4900,8700,9700,10000,11000,11000,11000,11000,11000,226,114,2900.0,4144.50957448674,136.03037496795878,10976.680457999464,63.230088495575224
