Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1719674116,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1719674117,10,,Aggregated,0.000000,0.000000,240,240,240,240,240,240,240,240,240,240,240,10,0,239.63362502399832,236.62875419831835,231.7721250001341,239.63362502399832,22.0
1719674118,20,,Aggregated,0.000000,0.000000,220,230,240,240,240,240,240,240,240,240,240,21,0,220.0,225.67581161413165,211.0713339643553,239.63362502399832,25.285714285714285
1719674119,30,,Aggregated,10.000000,0.000000,220,230,230,240,240,240,240,240,240,240,240,33,0,220.0,223.5498220561016,210.23754199268296,239.63362502399832,25.545454545454547
1719674120,40,,Aggregated,10.000000,0.000000,220,220,220,230,240,240,240,240,240,240,240,55,0,220.0,218.58515077990225,205.67783300066367,239.63362502399832,25.272727272727273
1719674121,50,,Aggregated,10.333333,0.000000,220,220,230,230,230,240,240,240,240,240,240,77,0,220.0,218.5505903847576,205.67783300066367,239.63362502399832,24.571428571428573
1719674122,60,,Aggregated,11.750000,0.000000,210,220,220,230,230,240,240,240,240,240,240,102,0,210.0,216.79436562322627,205.5799579829909,239.63362502399832,24.676470588235293
1719674123,70,,Aggregated,14.000000,0.000000,210,220,220,220,230,240,240,240,240,240,240,126,0,210.0,216.18801986037326,205.5055410019122,239.63362502399832,24.69047619047619
1719674124,80,,Aggregated,15.500000,0.000000,210,220,220,220,230,230,240,240,240,240,240,157,0,210.0,215.43669135229675,205.5055410019122,239.63362502399832,24.312101910828027
1719674125,90,,Aggregated,16.000000,0.000000,210,220,220,220,230,230,240,240,240,240,240,187,0,210.0,214.88352694746635,205.5055410019122,239.63362502399832,24.02139037433155
1719674126,100,,Aggregated,17.625000,0.000000,210,220,220,220,230,230,240,240,240,240,240,224,0,210.0,214.2040920986931,205.282042035833,239.63362502399832,23.366071428571427
1719674127,100,,Aggregated,19.111111,0.000000,210,210,220,220,220,230,240,240,240,240,240,251,0,210.0,213.60657472150453,205.282042035833,239.63362502399832,23.051792828685258
1719674128,100,,Aggregated,20.700000,0.000000,210,210,220,220,220,230,240,240,240,240,240,284,0,210.0,212.94888470450607,204.9275420140475,239.63362502399832,23.077464788732396
1719674129,100,,Aggregated,22.000000,0.000000,210,210,220,220,220,230,240,240,240,240,240,315,0,210.0,212.49871192137815,204.9275420140475,239.63362502399832,23.047619047619047
1719674130,100,,Aggregated,23.800000,0.000000,210,210,210,220,220,230,230,240,240,240,240,351,0,210.0,212.10134450490176,204.9275420140475,239.63362502399832,23.00854700854701
1719674131,100,,Aggregated,26.200000,0.000000,210,210,210,220,220,230,230,240,240,240,240,384,0,210.0,211.8438285706361,204.9275420140475,239.63362502399832,23.03125
1719674132,100,,Aggregated,27.400000,0.000000,210,210,210,210,220,230,230,240,240,240,240,409,0,210.0,211.6589849419985,204.9275420140475,239.63362502399832,23.00488997555012
1719674133,100,,Aggregated,29.400000,0.000000,210,210,210,210,220,230,230,240,240,240,240,443,0,210.0,211.41642797094482,204.9275420140475,239.63362502399832,22.941309255079005
1719674134,100,,Aggregated,29.600000,0.000000,210,210,210,210,220,230,230,240,240,240,240,476,0,210.0,211.24614610964286,204.9275420140475,239.63362502399832,22.932773109243698
1719674135,100,,Aggregated,30.300000,0.000000,210,210,210,210,220,220,230,240,240,240,240,508,0,210.0,211.10125173625306,204.9275420140475,239.63362502399832,22.968503937007874
1719674136,100,,Aggregated,30.700000,0.000000,210,210,210,210,220,220,230,240,240,240,240,531,0,210.0,210.99425511109763,204.9275420140475,239.63362502399832,22.89265536723164
1719674137,100,,Aggregated,30.800000,0.000000,210,210,210,210,220,220,230,240,240,240,240,568,0,210.0,210.8398057623073,204.9275420140475,239.63362502399832,22.971830985915492
1719674138,100,,Aggregated,30.200000,0.000000,210,210,210,210,220,220,230,240,240,240,240,597,0,210.0,210.73633641506885,204.88470798591152,239.63362502399832,22.984924623115578
1719674139,100,,Aggregated,31.000000,0.000000,210,210,210,210,220,220,230,240,240,240,240,623,0,210.0,210.65090958684544,204.88470798591152,239.63362502399832,22.958266452648473
1719674140,100,,Aggregated,31.300000,0.000000,210,210,210,210,220,220,230,240,240,240,240,657,0,210.0,210.5428318824772,204.86312499269843,239.63362502399832,22.986301369863014
1719674141,100,,Aggregated,31.000000,0.000000,210,210,210,210,220,220,230,240,240,240,240,693,0,210.0,210.41973197100614,204.86312499269843,239.63362502399832,23.034632034632036
1719674142,100,,Aggregated,31.000000,0.000000,210,210,210,210,220,220,230,230,240,240,240,726,0,210.0,210.33558029567274,204.6413329662755,239.63362502399832,23.08677685950413
1719674143,100,,Aggregated,30.100000,0.000000,210,210,210,210,220,220,230,230,240,240,240,751,0,210.0,210.30917199677012,204.6413329662755,239.63362502399832,23.11051930758988
1719674144,100,,Aggregated,31.000000,0.000000,210,210,210,210,220,220,230,230,240,240,240,787,0,210.0,210.240214900232,204.4585420517251,239.63362502399832,23.223634053367217
1719674145,100,,Aggregated,31.300000,0.000000,210,210,210,210,210,220,230,230,240,240,240,816,0,210.0,210.20338403853683,204.4585420517251,239.63362502399832,23.24264705882353
1719674146,100,,Aggregated,30.900000,0.000000,210,210,210,210,210,220,230,230,240,240,240,849,0,210.0,210.14124028221786,204.4585420517251,239.63362502399832,23.226148409893995
1719674147,100,,Aggregated,31.600000,0.000000,210,210,210,210,210,220,230,230,240,240,240,875,0,210.0,210.09444500080176,204.4585420517251,239.63362502399832,23.302857142857142
1719674148,100,,Aggregated,31.200000,0.000000,210,210,210,210,210,220,230,230,240,240,240,908,0,210.0,210.05334586557925,204.4585420517251,239.63362502399832,23.318281938325992
1719674149,100,,Aggregated,31.600000,0.000000,210,210,210,210,210,220,230,230,240,240,240,940,0,210.0,209.98597349791956,204.4585420517251,239.63362502399832,23.26063829787234
1719674150,100,,Aggregated,31.700000,0.000000,210,210,210,210,210,220,230,230,240,240,240,972,0,210.0,209.94563936441514,204.1896249866113,239.63362502399832,23.253086419753085
1719674151,100,,Aggregated,31.400000,0.000000,210,210,210,210,210,220,230,230,240,240,240,999,0,210.0,209.91024704158514,204.1896249866113,239.63362502399832,23.26726726726727
1719674152,100,,Aggregated,31.800000,0.000000,210,210,210,210,210,220,230,230,240,240,240,1034,0,210.0,209.8632354519647,204.18587501626462,239.63362502399832,23.238878143133462
1719674153,100,,Aggregated,31.500000,0.000000,210,210,210,210,210,220,230,230,240,240,240,1066,0,210.0,209.86932085858226,204.18587501626462,239.63362502399832,23.23264540337711
1719674154,100,,Aggregated,30.200000,0.000000,210,210,210,210,210,220,230,230,240,240,240,1092,0,210.0,209.86480600763053,204.18587501626462,239.63362502399832,23.252747252747252
1719674155,100,,Aggregated,31.400000,0.000000,210,210,210,210,210,220,230,230,240,240,240,1128,0,210.0,209.81678926058368,204.18587501626462,239.63362502399832,23.247340425531913
1719674156,100,,Aggregated,31.900000,0.000000,210,210,210,210,210,220,230,230,240,240,240,1161,0,210.0,209.76785482675507,204.18587501626462,239.63362502399832,23.299741602067183
