Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1719703225,0,,Aggregated,0.0,0.0,,,,,,,,,,,,0,0,0,0.0,0.0,0.0,0.0
1719703226,100,,Aggregated,0.0,0.0,88.0,150.0,150.0,150.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,100,51,88,110.94341331801844,59.05279202852398,159.21245800564066,70.8
1719703227,200,,Aggregated,0.0,0.0,76.0,86.0,98.0,140.0,150.0,160.0,160.0,160.0,160.0,160.0,160.0,215,166,76,84.96286570565601,2.627291018143296,159.21245800564066,94.97674418604652
1719703228,300,,Aggregated,36.0,36.0,71.0,81.0,87.0,93.0,140.0,150.0,160.0,160.0,160.0,160.0,160.0,367,318,71,70.76001476686149,1.5124590136110785,159.21245800564066,103.68392370572208
1719703229,400,,Aggregated,75.0,50.5,66.0,77.0,83.0,87.0,98.0,150.0,160.0,160.0,160.0,160.0,160.0,544,495,66,62.01896055041716,1.3482500216923654,159.21245800564066,107.69117647058825
1719703230,500,,Aggregated,86.333333,70.0,60.0,73.0,80.0,85.0,94.0,140.0,150.0,160.0,160.0,160.0,160.0,782,733,60,53.77714818714501,1.0829160455614328,159.21245800564066,110.21994884910484
1719703231,600,,Aggregated,105.25,93.0,54.0,69.0,77.0,82.0,92.0,100.0,150.0,160.0,160.0,160.0,160.0,1037,988,54,48.43713058941893,1.0644159629009664,159.21245800564066,111.64127290260366
1719703232,700,,Aggregated,119.6,109.8,48.0,66.0,74.0,79.0,89.0,96.0,150.0,160.0,160.0,160.0,160.0,1323,1274,48,44.258125104539474,1.0010830010287464,159.21245800564066,112.58352229780802
1719703233,800,,Aggregated,138.333333,130.166667,42.0,63.0,72.0,78.0,88.0,95.0,150.0,150.0,160.0,160.0,160.0,1622,1573,41,41.65171018668706,1.0010830010287464,159.21245800564066,113.21331689272505
1719703234,900,,Aggregated,158.428571,151.428571,27.0,61.0,71.0,76.0,87.0,95.0,140.0,150.0,160.0,160.0,160.0,1978,1929,27,39.03406330461296,1.0010830010287464,159.21245800564066,113.71486349848333
1719703235,1000,,Aggregated,173.25,167.125,12.0,60.0,71.0,77.0,89.0,98.0,130.0,150.0,160.0,160.0,160.0,2376,2327,12,38.13498602904789,1.0010830010287464,159.21245800564066,114.0976430976431
1719703236,1100,,Aggregated,186.777778,181.333333,9.0,56.0,68.0,75.0,87.0,96.0,120.0,150.0,160.0,160.0,160.0,2799,2750,9,35.44730843587091,1.0010830010287464,159.21245800564066,114.38513754912468
